timestamp,batch_size,learning_rate,val_acc,test_acc,epochs_trained,best_epoch
20250502_222526,16,0.001,None,None,None,None
20250502_222526,16,0.0005,None,None,None,None
20250502_222526,16,0.0001,None,None,None,None
20250502_222526,32,0.001,None,None,None,None
20250502_222526,32,0.0005,None,None,None,None
20250502_222526,32,0.0001,None,None,None,None
20250502_222526,64,0.001,None,None,None,None
20250502_222526,64,0.0005,None,None,None,None
20250502_222526,64,0.0001,None,None,None,None
20250502_223056,16,0.001,None,None,None,None
20250502_223056,16,0.0005,None,None,None,None
20250502_223056,16,0.0001,None,None,None,None
20250502_223056,32,0.001,None,None,None,None
20250502_223056,32,0.0005,None,None,None,None
20250502_223056,32,0.0001,None,None,None,None
20250502_223056,64,0.001,None,None,None,None
20250502_223056,64,0.0005,None,None,None,None
20250502_223056,64,0.0001,None,None,None,None
20250502_223332,16,0.001,None,None,None,None
20250502_223332,16,0.0005,None,None,None,None
20250502_223333,16,0.0001,None,None,None,None
20250502_223333,32,0.001,None,None,None,None
20250502_223333,32,0.0005,None,None,None,None
20250502_223333,32,0.0001,None,None,None,None
20250502_223333,64,0.001,None,None,None,None
20250502_223333,64,0.0005,None,None,None,None
20250502_223333,64,0.0001,None,None,None,None
20250503_162630,16,0.001,None,None,None,None
20250503_162634,16,0.0005,None,None,None,None
20250503_162636,16,0.0001,None,None,None,None
20250503_162639,32,0.001,None,None,None,None
20250503_162641,32,0.0005,None,None,None,None
20250503_162644,32,0.0001,None,None,None,None
20250503_162646,64,0.001,None,None,None,None
20250503_162649,64,0.0005,None,None,None,None
20250503_162651,64,0.0001,None,None,None,None
