timestamp,batch_size,learning_rate,val_acc,test_acc,epochs_trained,best_epoch
20250503_145522,16,0.001,None,None,None,None
20250503_145522,16,0.0005,None,None,None,None
20250503_145522,16,0.0001,None,None,None,None
20250503_145522,32,0.001,None,None,None,None
20250503_145522,32,0.0005,None,None,None,None
20250503_145522,32,0.0001,None,None,None,None
20250503_145522,64,0.001,None,None,None,None
20250503_145522,64,0.0005,None,None,None,None
20250503_145522,64,0.0001,None,None,None,None
20250503_152852,16,0.001,None,None,None,None
20250503_152904,16,0.0005,None,None,None,None
20250503_152906,16,0.0001,None,None,None,None
20250503_152909,32,0.001,None,None,None,None
20250503_152912,32,0.0005,None,None,None,None
20250503_152915,32,0.0001,None,None,None,None
20250503_152917,64,0.001,None,None,None,None
20250503_152920,64,0.0005,None,None,None,None
20250503_152923,64,0.0001,None,None,None,None
